actual_label	image	predicted_label
Round Neck	4916_9179c3f09d966b6601796902c94d09b2.jpg	Round Neck
U neck	4818_48f088ee47bc0ab524afea2cc9625251.jpg	Round Neck
U neck	5084_0d9d25385251bdaea01bb89b7a25c29d.jpg	V Neck
V Neck	4370_329ff27f3f7f37850c0a032459d99329.jpg	V Neck
chinese collar neck	5485_462c57d0933773b4878b21af87c67762.jpg	chinese collar neck
V Neck	1230_d8b4d33e500a4cfe06982ca4b3fc5430.jpg	V Neck
U neck	5488_f3d9f8a9b01e23a794bd83059a9320cc.jpg	V Neck
chinese collar neck	5007_b1c8771824fd72e1281439055acb4748.jpg	chinese collar neck
Square Neck	4995_bfa4ac658212c6f084f085e2dc06286a.jpg	Round Neck
Round Neck	3110_f7b309ebbed82d0bd3be03b4373de429.jpg	U neck
V Neck	639_72f602f4853d8bd2dc58790c7270157e.jpg	U neck
chinese collar neck	4858_426c2d7c0d45d570e73307dfb353cb69.jpg	V Neck
chinese collar neck	3186_cd572736eae7f2b51d0793d382696ec8.jpg	V Neck
U neck	2108_68fdd07105e3c9b4043235406e391a96.jpg	Round Neck
Boat neck	1077_e12c13c1288c81469dec7917b969c8fa.jpg	U neck
Round Neck	1890_fba41ecbb9609db47a26cbb022850529.jpg	chinese collar neck
U neck	654_db077d5437069690a2aee4bd1530aa15.jpg	U neck
U neck	4473_ed7ffd865c59531e552c2954181deea9.jpg	U neck
U neck	208_6e6e96d0a4029af3b67054224ce4c269.jpg	U neck
chinese collar neck	4866_843e86bcb07f1736cc7b1b0170684fdb.jpg	Low cut neck
U neck	5170_cf6901f74817bf7209ff8b6266ccbb7e.jpg	U neck
chinese collar neck	4881_0777713ebca39d0b38203d510c81045e.jpg	chinese collar neck
V Neck	5081_15c5f21b339dc7c7522b134ca91ee741.jpg	V Neck
chinese collar neck	4034_1f53869e3b5b08d1d814bb1a0cd30ef9.jpg	chinese collar neck
chinese collar neck	299_7ab3ca81fd553f35108cf69be7bc1481.jpg	Round collar
Round Neck	195_57114973cc07ca0e23860914ef48ed64.jpg	Round Neck
chinese collar neck	3399_b4c04a1bf6324ab35f39aab965f7e3fc.jpg	chinese collar neck
Boat neck	2895_9c20e32a41f00bda622374f036163d8f.jpg	Round Neck
Low cut neck	2220_1a1f2e828cd6d45d3e760a35a1d58eb3.jpg	Round Neck
Round Neck	1917_0273364c342ce5d6090c5db3041ccf0a.jpg	V Neck
Round Neck	1058_bb1617bd0aaf744d74829c6cd7a81e02.jpg	U neck
Round Neck	5631_7faeb1a69e17a90b28bb5af07d04b562.jpg	Boat neck
Boat neck	4619_b41446850d05adb21d582c44fdbc8414.jpg	U neck
chinese collar neck	1264_d4b07a0c43ca857ba4892acdf5bc75cd.jpg	V Neck
Round Neck	2730_433503f7770b71bb6852daf881f9c6ea.jpg	Round Neck
U neck	5379_15212e0338ed8ef53449e7d7621a6a40.jpg	U neck
chinese collar neck	709_987b71c743e2f7bdc31ede9fc8412da2.jpg	chinese collar neck
Boat neck	3182_814c79da4ea79c12769454640d5ebf59.jpg	U neck
Round Neck	4594_39af3633fdc6f6b751146480e1d83bf6.jpg	U neck
V Neck	2922_d9aad2291f5dff7451e15af93abeb877.jpg	U neck
Boat neck	969_8e8bfa5ae589b26fcbf389d6a43362f3.jpg	Round Neck
U neck	4628_1e42e90e269a549b76dd3cc5f4b465d0.jpg	U neck
U neck	4354_fe7ceab20ad70ed011b5b848b3412203.jpg	U neck
Round Neck	3007_9cf6f6d05e2d69317d77aca3be35bf43.jpg	Round Neck
chinese collar neck	5606_db8aeb9dc99a645b430b1c409877ad9e.jpg	U neck
U neck	4263_918e9aa5e306c4ac1400bde30c230134.jpg	V Neck
U neck	4576_3886bd6263d265370c0f084b7cd9d17c.jpg	U neck
chinese collar neck	1758_33c5882ab4ec14cfd100a659932231b0.jpg	chinese collar neck
U neck	8_a88a689e2eadbc71ecae87b816cdc78b.jpg	Square Neck
Round Neck	817_5de4a229a1e32c39ec1ec89570583116.jpg	Round Neck
Round Neck	3718_fe8040b285ef2b1e1374e678c170b300.jpg	Round Neck
chinese collar neck	2174_a4c974aa7a75bf088562583749bbeefa.jpg	V Neck
V Neck	692_e4193973b3a832ff07f9e10da9f92c79.jpg	U neck
chinese collar neck	3382_fcf630bb9922d09c948ad9854fbd4c76.jpg	chinese collar neck
U neck	4466_57dfc04a530872dbe3a7a4a522d49d3e.jpg	V Neck
chinese collar neck	5180_7e1bd8bbf154dced3b8497834a698cf1.jpg	chinese collar neck
Round Neck	5641_7139cdaa46393947ea52bc3160ed26a2.jpg	U neck
U neck	3964_120aa869afd73cd9119e5959da52e266.jpg	U neck
U neck	5635_1f350fe8316abb3c3792ab55e9ea44f2.jpg	V Neck
Round Neck	196_aa468d7348fa9fd8b20114f99e157e0b.jpg	U neck
Low cut neck	2628_87b9a6093e370cb1d790ceee749077b3.jpg	U neck
V Neck	3929_0e8e99faed6c8056550cf171e2b57157.jpg	U neck
U neck	4488_1d8c62648033cfc65bf0ffa274d47fc9.jpg	U neck
Boat neck	5320_0d3247e97bbb9c3bb7754b016fb5329a.jpg	Round Neck
U neck	5273_55ad4e51953434f1ed8051e31d961dec.jpg	U neck
chinese collar neck	3383_8e277f7dfeb6fff93477b142c6e01a1d.jpg	chinese collar neck
V Neck	482_a43d698deb1eb0b47102894cd976be31.jpg	U neck
V Neck	5463_2589d38ed3c40fc3ba68ef013b4ff658.jpg	V Neck
Boat neck	1150_e714c541a5025e4c7db4e007d79a92f5.jpg	U neck
U neck	4313_f2004cbf159daaae43f24424c93f21a3.jpg	V Neck
chinese collar neck	4178_c93068eaeaaf4747c639d5a999fc76e3.jpg	chinese collar neck
chinese collar neck	3766_15f1d75377c590d66c598fe9cb439c95.jpg	V Neck
V Neck	3067_0c5cf129d8668b148cb76bada098c116.jpg	U neck
U neck	5040_f92869d00ebfe0455714fdb3e64cf020.jpg	U neck
V Neck	3070_34b1cc28024cf2051f1e6569e2bb9b95.jpg	V Neck
Round Neck	1755_e28a7c369cbc376697db1fd18f52ec31.jpg	Boat neck
U neck	2717_3bcaca795652b048ad922214bbe8d24b.jpg	U neck
chinese collar neck	1331_0e620935a12375b189c4a57ae668bf6b.jpg	U neck
chinese collar neck	3818_2e90a3a26ed077632a2828ef9a8ea753.jpg	V Neck
U neck	3617_69a4e2243fb613b5c84bdf122e3142cd.jpg	V Neck
Boat neck	3997_e94d856d0aa54e2eee9c6e877575319b.jpg	V Neck
Round Neck	5477_5faf2a1e8a49bd1407f756099d13b42c.jpg	Square Neck
chinese collar neck	615_e07e117437a1305edfb0b4dc9a2be2db.jpg	Low cut neck
chinese collar neck	4782_373e5a4354632fe6a24c4e48c7dff508.jpg	chinese collar neck
Round Neck	335_dd13a10bf195631304439fd3aba7b618.jpg	U neck
Round Neck	4102_a919c3ba7b8ad46256fe54598d4047c8.jpg	Round Neck
U neck	2689_fc86fe35585bffa2826918f4c7e8d256.jpg	Round Neck
chinese collar neck	1852_47e14eaee6f802f29f6f1cc505a1ba02.jpg	chinese collar neck
U neck	1468_8be20620ea69dbc92147d2b7da78bc78.jpg	U neck
Round Neck	4966_675575a2dd5e8c9b717412f114e054d2.jpg	Round Neck
chinese collar neck	3905_4de3172aa9fe440ad0174cad6516d7e0.jpg	V Neck
U neck	4514_593d5198348d55572ae09ec58b3867a6.jpg	Round Neck
Round collar	1211_14a19e27c6d935660f232a370bd432aa.jpg	U neck
U neck	3187_e848833ea4c9514495ced19fa4b1efa0.jpg	U neck
Round Neck	4612_1709bce2a0f6666769e8788617abedc6.jpg	Round Neck
V Neck	2146_82f9f22d382481d5a4233f098d87cd52.jpg	U neck
U neck	1749_75b88acf9647445b9c6d0d1f1f7659cb.jpg	U neck
chinese collar neck	3659_db8087b7e2771d735404fa0ee5a9df93.jpg	U neck
Round collar	5212_f0084e47a76bb68aeeb841ba518a7f98.jpg	U neck
