actual_label	image	predicted_label
chinese collar neck	3636_339b1292b32b28e88593c54be5f2f789.jpg	chinese collar neck
Round collar	1612_a236a9be3196343aa2ed884982031015.jpg	chinese collar neck
U neck	2095_cf0a7debac5195e8735390a10acef75c.jpg	chinese collar neck
chinese collar neck	2670_3ba489eb0a1a7d2fb45d45e04a6fcc86.jpg	chinese collar neck
V Neck	880_d5f5a18cb73978fdb960d48410cc7f7b.jpg	chinese collar neck
Low cut neck	4947_5bfe0b82f4987e4da90dda94d11393db.jpg	chinese collar neck
V Neck	2636_efce315b3e8a30cb6aefb8926ef3e8e1.jpg	chinese collar neck
V Neck	5584_bcab80f7a45510e6a3168ed14136cce9.jpg	chinese collar neck
Round Neck	96_512344970a9e3bb3bd76b1f0d976957e.jpg	chinese collar neck
V Neck	2586_1849f9abcdb5094606f7b545fdf84a66.jpg	chinese collar neck
U neck	3689_91b4693f96a149d7f5f1d3c1538ae63e.jpg	chinese collar neck
U neck	2662_7efa12e5212b74f05ec42eb4c73cceb2.jpg	chinese collar neck
U neck	4105_c66f09e11cae017671d338900d1e1baa.jpg	chinese collar neck
V Neck	11_5f031f995dbe110eec6c289ca61e65f6.jpg	chinese collar neck
U neck	2562_38ec1d23216a0a8058ff0e6740704768.jpg	chinese collar neck
chinese collar neck	5452_74890b2d245eaf353d7cce009fce8086.jpg	chinese collar neck
Low cut neck	2386_1ea350871c50cf6ec8592cd0f965cc60.jpg	chinese collar neck
chinese collar neck	4799_60b237ef4950710c4010c34730637b14.jpg	chinese collar neck
Round collar	3427_39fd55b360b618ff83b381a46678d493.jpg	chinese collar neck
chinese collar neck	234_e2d17b9f9232ea92efcc2aee5594d400.jpg	chinese collar neck
U neck	3405_fe31fa0a080d5c70197175830bfea2ba.jpg	chinese collar neck
Round collar	5249_71aeeabfd725f80df7a3b803461f1ba9.jpg	chinese collar neck
Low cut neck	1371_060cd176b7d49422d031925445387bab.jpg	chinese collar neck
chinese collar neck	353_f320866e8b2443f9f464a70ced491c01.jpg	chinese collar neck
Boat neck	1986_324b32b48afea057c8edd2dd345cf029.jpg	chinese collar neck
U neck	3831_e3731f88b8cc7dea407468996c5db5b9.jpg	chinese collar neck
Boat neck	841_307e8cbb8e18dc53ef6bfe8011374642.jpg	chinese collar neck
