actual_label	image	predicted_label
U neck	795_68449b61119b7f1162b9e13214e5b257.jpg	U neck
V Neck	1685_93366def2ccb1125740ee401f57868f1.jpg	U neck
U neck	501_4ad66f20c6d43261c1bbe97ab813bbc2.jpg	U neck
U neck	1061_c78d33f2a41e2fd8b812dd8a6cb304f3.jpg	U neck
V Neck	1783_3a252d3917f0a0fbd0cf45b4e3a3ae8c.jpg	U neck
U neck	779_1002c20b75af22bfd3e05378afab93a8.jpg	U neck
V Neck	1547_eaf5d0397e7a33de3edb8f37c4ca675f.jpg	V Neck
U neck	1025_c0fc4d81cffca2809bbd1ab41d526161.jpg	V Neck
V Neck	1981_439da0f26ab5dd397b86757539850ed4.jpg	V Neck
V Neck	1861_bcce23e47b45080bb0271df9e78a0cdd.jpg	U neck
V Neck	1436_34ff78ccb7dc909ea5a1c8d8ee288585.jpg	U neck
V Neck	1754_ed112939e4875e0093fe5284b802e2ae.jpg	U neck
U neck	1037_056e6d0e3f04b02a22233f005d342ccd.jpg	U neck
U neck	521_5e9a3fbc74d0b0f1fc15a6285be08e34.jpg	V Neck
U neck	295_19055f26a7ebae1f338a3d3ffd23a956.jpg	U neck
V Neck	1423_0ead14f346c2c02ae4ff4f55bb325876.jpg	U neck
V Neck	1362_2c4423f72a6c7e5137f182886bc01904.jpg	V Neck
U neck	829_7f9f57373e23400088f4e69216a591fa.jpg	U neck
U neck	306_387c4580015ed054dfcca8c38d2bedf7.jpg	U neck
U neck	509_2744b32e76afaaa193bc2a5efa3f94d1.jpg	U neck
U neck	813_29b6c9fb36f8148cdc6a5e5d4681a6df.jpg	U neck
V Neck	1814_eeda3daee136867b72ddf21b55007d88.jpg	V Neck
U neck	757_7f29cc63b5fd50188d184feb819a929b.jpg	V Neck
V Neck	1621_06b53af68e91c37c399ffb42dd3bb572.jpg	V Neck
V Neck	1879_c8afe36f4e10aa78be554c5cb876aca5.jpg	U neck
U neck	776_a8d5ed546d09244abee07180527e9519.jpg	U neck
U neck	415_345a45e4620cacb8f29c8a217a0e1f3d.jpg	U neck
U neck	513_2222ecba7be6cdd960ce6347114f60f5.jpg	U neck
U neck	373_64c647beaa6a980d9b3cbf00fff9687b.jpg	U neck
U neck	700_566315ee7c933d6c0bdac7a8a881613e.jpg	V Neck
U neck	251_d909e5b8844e52358502885869255d7b.jpg	V Neck
V Neck	1632_fe8baf37a9c1d2ae613a83a346b4b838.jpg	V Neck
U neck	442_f7e3eaa4d610949c3bced55b0ef23091.jpg	U neck
U neck	1027_6e52d1340153e0f858b2bca1b1365620.jpg	U neck
V Neck	2033_050de66f8babc2398a4ec610e62fef20.jpg	U neck
U neck	601_597edd79bf6b4bc0066f8b11f6bbe4ab.jpg	V Neck
U neck	594_788bab8aa9e2cf3ce21197fc78277981.jpg	V Neck
V Neck	1778_8da0e8551c1cb9ab0bee2555b224e4b7.jpg	V Neck
U neck	611_1be7041cd2a4635d70e502e183be6795.jpg	V Neck
U neck	610_6c063e269e1c29629a084298e136cc47.jpg	V Neck
V Neck	1417_0fe97851feedff881e70a922db7ead2a.jpg	U neck
U neck	832_7e7761c865525b5ca8e1e158cc6a5570.jpg	U neck
V Neck	1805_46fc079d9338167819654bb31d8591cb.jpg	V Neck
V Neck	1786_43555f9d51c14fee123ade3c050e72a1.jpg	U neck
U neck	298_942fc2cfece9c92cc7a6464d298d243f.jpg	U neck
V Neck	1858_6b9e0de269fe91f3321fe560af1015a6.jpg	U neck
U neck	853_2c72d70632a9396ee44a8262cf1e0a1f.jpg	U neck
U neck	562_9cfcff1364c0ebe10e2b5eb98ee4443c.jpg	U neck
V Neck	2056_716ad683904a42462a12ea0238df132a.jpg	U neck
V Neck	1700_585299b4d042ee1e6d06519227b40f52.jpg	V Neck
U neck	690_975bd425a72da8bea2daf7f61baad4d7.jpg	U neck
U neck	284_87695dd1f6ecb1b10ead689118fad50e.jpg	V Neck
U neck	506_a1b91f55b434231ca5b14209dee56964.jpg	U neck
U neck	275_e2daf16a076ec8b0cf14a616ade7acb4.jpg	V Neck
U neck	326_98a13c435ecd9f0630e416e845dfce7a.jpg	U neck
U neck	362_745c3047c0fbc25d6495bc26d672591c.jpg	U neck
V Neck	1810_8a63963f218f86e662128033eb9d6e46.jpg	V Neck
V Neck	1544_619f526c0d542191e776f55fe849dcc7.jpg	U neck
V Neck	1670_65d7cccc9cd2078cec5b6141fe1b0269.jpg	V Neck
V Neck	2061_92af1a317c848208ff6243ada1c43317.jpg	U neck
V Neck	1457_3f3709471830f835f58707171cfb6832.jpg	V Neck
V Neck	1707_13025511c07b61ffdc25ef6a65b26486.jpg	U neck
U neck	450_ccecf76544973e661e8b7bd625a848f7.jpg	U neck
V Neck	1896_113ab769b2e1c6a4232bd4c2007d34c2.jpg	V Neck
V Neck	2000_7be65c454eaca49d1b1b270f8d192169.jpg	U neck
U neck	399_afec8cb92753c0b80d2693825885950d.jpg	U neck
V Neck	1561_b2de0676eecb94228ba68391f37e6ae3.jpg	V Neck
U neck	1056_cf458994bd18a6de72727a18b8e99e3c.jpg	U neck
U neck	994_8089304099993010b3d6e7e67e843610.jpg	U neck
