actual_label	image	predicted_label
U neck	5694_4465909a5fc15b8f74ac39a6eb22904e.jpg	U neck
Boat neck	1115_fbd150fcda9ce2a380204bdab373a6b4.jpg	Boat neck
U neck	766_758b57d9bf809d754d9c7d14a7aca109.jpg	chinese collar neck
Boat neck	5305_9df4a3b7101aa6ace54e7475c9f930fe.jpg	Boat neck
V Neck	4168_c3160abaf6e0e59fb4b1f065ca031b86.jpg	U neck
U neck	1025_c0fc4d81cffca2809bbd1ab41d526161.jpg	U neck
Round collar	5344_b769a59c72beb6b28c0f339417754273.jpg	U neck
Low cut neck	3053_7cfed361cce407e1f05afb1d6595607f.jpg	chinese collar neck
Round Neck	3072_560ac0a17a9f588bc76a7ab0438345e5.jpg	U neck
V Neck	2555_b598055d17be74df6d0732294ca57f58.jpg	Low cut neck
U neck	3912_fa1f59185be41eb22efe8585bfbc40da.jpg	U neck
chinese collar neck	4984_352b98149a4b804bce605edd29c89488.jpg	chinese collar neck
U neck	2292_35a4b2e0dfce176cff0bdcd18b5f229b.jpg	U neck
V Neck	4623_eac95c1c413556e636f666f170fd7f33.jpg	Boat neck
chinese collar neck	749_c1d515e2dd4f4653c19a9bed8af7cc37.jpg	chinese collar neck
Low cut neck	28_2540c6fa4848cff38a4325c1dfe60921.jpg	V Neck
U neck	295_19055f26a7ebae1f338a3d3ffd23a956.jpg	U neck
Round Neck	3522_aeb08fcbb82076015c6eb116751ab6b9.jpg	Round Neck
U neck	776_a8d5ed546d09244abee07180527e9519.jpg	U neck
chinese collar neck	500_eb715e3e600a7b10d8e7b86165102c6b.jpg	chinese collar neck
V Neck	281_baf4d37dc4b2a353a99f068a4a85698a.jpg	Round Neck
chinese collar neck	1808_4d6779abd72acb32e4c921dbe9d811a6.jpg	Round Neck
Round Neck	4578_c3c300a2ff0393388d6e58e2ee89c646.jpg	Round Neck
chinese collar neck	4968_9b6ff2c649eccab050d19dce8c567892.jpg	chinese collar neck
U neck	415_345a45e4620cacb8f29c8a217a0e1f3d.jpg	U neck
chinese collar neck	2044_cc747c43f00942685ac8360659b1fcb7.jpg	Low cut neck
V Neck	4340_a4d56dab90e304c613ffd1c52110030c.jpg	Round Neck
U neck	4515_73f0ea8c823d5ce9714c36072c48b595.jpg	U neck
U neck	3791_350cce67d2cf70b694d7cce8b36556aa.jpg	U neck
Boat neck	1109_eb10e276ea025f99aaaab4f098029794.jpg	Round Neck
Square Neck	2320_5118d326eb3a8de9d047e1d7e5a3cbff.jpg	U neck
Low cut neck	2481_875f53b8f5f5a0348c64227916794edf.jpg	U neck
Round Neck	4606_6b6a24d2e33d69604487ee903f848c08.jpg	Square Neck
Round collar	5676_54c2d2a99b77c21326890999e4f77e9e.jpg	U neck
Collar neck	37_1057189584cfac3cbc0c0c39abd5c675.jpg	chinese collar neck
chinese collar neck	4496_998e1415241272bc5e2df40c0c7778d0.jpg	chinese collar neck
Round collar	1302_57e222c464d393b4f87c1b950fc76bfb.jpg	Round collar
U neck	5626_d47042fe0ebab9c4c8586d2ed5c1d16d.jpg	Low cut neck
V Neck	1076_b831b4b8cd9c9cffbfc6dbb7bc303e48.jpg	chinese collar neck
Round Neck	4385_15278bc31c9716a7997325481732bd37.jpg	U neck
V Neck	3703_384b8d4041f9b031b9207eb3c13ba41a.jpg	Low cut neck
chinese collar neck	967_2f9ce0af2690ec334f8b784544796469.jpg	U neck
Round Neck	1608_81d2dd01da9c18325186467344ce3ff0.jpg	Boat neck
Low cut neck	2671_9e302872141556711eceec96ab89d9df.jpg	Boat neck
Round Neck	2190_706364a538091d3961f930aaa433e0fc.jpg	U neck
V Neck	5244_983493c7b69773a7a571f9c380361987.jpg	chinese collar neck
chinese collar neck	56_22ca44154523ccbb3ba0aafcac945107.jpg	U neck
U neck	1333_37be845541c8caffabdd136b43a443bb.jpg	U neck
U neck	4569_23646ba225aac088ecb46b0da7296962.jpg	U neck
V Neck	963_1e58b596e6a17fb34f0243659a7a70c0.jpg	V Neck
V Neck	126_44297cdcf949e2c51a7f236136c4c0ca.jpg	chinese collar neck
Round Neck	1724_3a8f2a19d0ccdd34a979d920ac299fce.jpg	U neck
chinese collar neck	5696_e5d088453b8fe3a3d7054852351ff9cb.jpg	Round Neck
U neck	1389_6c27aea2d2b1aaf251a36df54c631b67.jpg	Round Neck
Low cut neck	1002_b64651ca80a3e1056448b981228492c9.jpg	Low cut neck
U neck	4336_c39816c02991ae25b5128a77b7239c4b.jpg	U neck
chinese collar neck	2511_b4b55b26d722d67f29e7e57be2273532.jpg	Round Neck
chinese collar neck	1661_3c7a6be17049444cc977343f7cfa692d.jpg	chinese collar neck
Round collar	4857_490ff39cdcb8b07724d2e68ea07093f8.jpg	U neck
U neck	2514_fe87fd1aa345903388f983d9d5b3ecd0.jpg	U neck
U neck	1571_13b157caaab25683806630a850b8fa55.jpg	U neck
Round Neck	1987_5a50d266e26944c3d6cf58c49cb66969.jpg	U neck
Round collar	1019_cbdb0430f229ce60f640e01c3e05dc2b.jpg	chinese collar neck
Square Neck	3732_a1cc2539a4251d603965e96bdc6a9351.jpg	U neck
Square collar	4800_eeadbc38625d8e5265e7497b10999f81.jpg	U neck
Low cut neck	2034_02e48a5d572fd44f65ce475a688dd6ba.jpg	Low cut neck
chinese collar neck	3789_f454648c8f297297557a09cd76654af5.jpg	chinese collar neck
V Neck	4287_3f2efaa7bd94ac66e27fac5ae61da67b.jpg	V Neck
U neck	1254_8a5d6b977958ad25f8d6b509b0777584.jpg	U neck
chinese collar neck	4095_dca77694995fa11abd95193b3a2e0507.jpg	Round Neck
Round Neck	4118_7ad88fa29524b7a0b27be7fd147117fd.jpg	Round Neck
Square Neck	3667_fc3075f29cfbf7f41ebc61a522a9f017.jpg	Round Neck
U neck	521_5e9a3fbc74d0b0f1fc15a6285be08e34.jpg	U neck
Collar neck	5742_9642285507214cf3876a6abf69df8ae0.jpg	chinese collar neck
U neck	2063_f5cee1f05d903a19c248fc25426838c1.jpg	Square Neck
chinese collar neck	3659_db8087b7e2771d735404fa0ee5a9df93.jpg	chinese collar neck
V Neck	1170_b73f2b3a11ed37d2becd74f00edad67c.jpg	V Neck
Boat neck	3182_814c79da4ea79c12769454640d5ebf59.jpg	U neck
chinese collar neck	3721_d6e2ce412eca567fa4b0c94d8cf4409f.jpg	chinese collar neck
U neck	2128_9b345abc397272099b963953a7f50f4a.jpg	U neck
U neck	4076_390df0c112984c5645614bd7bf1361d0.jpg	U neck
Round Neck	4612_1709bce2a0f6666769e8788617abedc6.jpg	U neck
Round Neck	1390_4a044272ea6a0ac448d65c08792bc90f.jpg	Round Neck
Round Neck	3356_ffe8fd082e1c818e2a15cf9333e4c68f.jpg	U neck
chinese collar neck	4671_eb2282f96c00e82420acbbe30deab9ac.jpg	chinese collar neck
chinese collar neck	4780_be148eadec3ca2038a2421f8a9bd1d02.jpg	V Neck
V Neck	4677_2f44eaa0f2b5f7b38fa69f9bf04fe5f6.jpg	Round Neck
Low cut neck	3005_76175ca814b9470cfbc01ba1213eedcb.jpg	U neck
Round Neck	4825_8a2846a921583d198166b7f875191823.jpg	Boat neck
V Neck	2762_4b0eec96192c43cde3970160cc662732.jpg	V Neck
V Neck	5491_e1f9557e1a278d78b793c992141898dd.jpg	Round Neck
Round Neck	2224_86b1e4da952b64faa227c89e9fa5903a.jpg	V Neck
V Neck	1160_680db53e50f2e656dce204ba2e6eba47.jpg	chinese collar neck
Boat neck	1265_351445c86faddb18d300fe8b4ef6cd5e.jpg	Low cut neck
Round Neck	3449_565ff16c9d9176a6db4877ab547adfc3.jpg	Low cut neck
chinese collar neck	4207_7b5b6db99a1605799d9420d09b2625e4.jpg	chinese collar neck
chinese collar neck	2708_8db9283507c51713a7069b0b791c774c.jpg	U neck
chinese collar neck	1569_510f2e25949230bb1e8ee22cc351e889.jpg	chinese collar neck
Round Neck	4471_7b0ae8fb8079848b38261229092ac4b8.jpg	U neck
Round Neck	5277_ae7eba1651cb119c98343e3182753803.jpg	Square Neck
chinese collar neck	5132_e45c65adf444b9607bfc06e0cccebf8b.jpg	U neck
V Neck	550_803d038f3ac5138450938cff60861b7e.jpg	chinese collar neck
Square Neck	2003_9c8033c1d40f8de546a47a30f6e5821f.jpg	Low cut neck
chinese collar neck	1790_5e2071807ead02d03ab0f1bef70d5cce.jpg	Round Neck
V Neck	1977_bd24c27ce15c3d7d5efbf7a1668cd004.jpg	Low cut neck
U neck	3771_fb16ce076b8fa262e47765b5ea3140f1.jpg	U neck
Collar neck	1102_707b9c187bac1e57e03056cdbd9917c1.jpg	Round Neck
chinese collar neck	5732_a6670e0e598c6b01e0cf1d81ae8b0639.jpg	U neck
Boat neck	565_50a4500e52504da727a09cad883c7a91.jpg	Round Neck
V Neck	200_29d5613c6e2da9ebcb822a82f4c5d49f.jpg	chinese collar neck
chinese collar neck	5214_a4f58056b7ce028dd97d0058c37eb177.jpg	chinese collar neck
Round Neck	582_8fd72bc397c5019bf72fefc01090b195.jpg	U neck
chinese collar neck	739_94b402de16173217559e9b5eda2fef71.jpg	chinese collar neck
V Neck	5369_8fed8a62c7cf97fb7536d825153c9e69.jpg	V Neck
U neck	4365_8241675cad9f9556354b5b51b2b86138.jpg	chinese collar neck
V Neck	4368_5a3ab64fb89964a4ea26bbda6156b1db.jpg	chinese collar neck
chinese collar neck	3015_d76df22b3cde854d1b24becafe6175ab.jpg	U neck
Square Neck	3279_edf587e50ba268a86e9f17bef49fd38e.jpg	Round Neck
chinese collar neck	5113_a0ed92ccefc1062092ba6f51ee511589.jpg	V Neck
Round Neck	5754_743d1b20fa9ae2799d2d34fcb348ae9f.jpg	Square Neck
chinese collar neck	1149_a94612f88b07655103094b9be75f2f8b.jpg	Round Neck
Round Neck	1635_6dd33c7c2104e7a3ca22ebc580142b11.jpg	Round Neck
V Neck	1072_4a4491580a4b2364987d98ace3948b73.jpg	Round Neck
U neck	2402_8b12d1183cb1e315247a089eb875345c.jpg	U neck
U neck	1013_e1dd9c10107e05d89c97bb8049d980b0.jpg	U neck
chinese collar neck	2022_abd7176683acbdec6820b755ce809a23.jpg	chinese collar neck
U neck	834_326828ca93b97f3a6db1a99522d50997.jpg	U neck
chinese collar neck	1593_b7da304026cd0c02dea056fce3d28624.jpg	chinese collar neck
chinese collar neck	4642_9ce64d615408c54ed37ad9b30a62058f.jpg	chinese collar neck
U neck	5111_6f33a4096db7dc944161d62a2540bcd8.jpg	U neck
Round Neck	2111_d91bec5f78959f4fb04ea550e69e7367.jpg	chinese collar neck
Boat neck	891_afc086c3448f4e051f87fa5acbedae7d.jpg	Square Neck
V Neck	5359_7aae2a0d6c3f51e968976a5e85382fff.jpg	U neck
U neck	159_796b273697158cf1a7d1b43699cb4dec.jpg	chinese collar neck
V Neck	5017_ef6f18bba44c99e7de531e2343492a40.jpg	chinese collar neck
chinese collar neck	4375_0824948216c610632ef8ddd809df60dd.jpg	U neck
Round collar	4872_a2606c1d14bd698566129ec8ff6dcaae.jpg	Round Neck
chinese collar neck	3532_5fd9c8d8900c90548e7dc5bdb7c72c67.jpg	chinese collar neck
V Neck	365_f9372f43c172c46679e0569d87d8fef8.jpg	V Neck
U neck	4965_12b3cbbd6fe198687fc6b89a3e8f51ac.jpg	U neck
U neck	3482_9c0229aeb2ed25972bce0fd85c794e1d.jpg	Round Neck
Boat neck	2472_5e4150bc11187c3a40fa50632f1c86e5.jpg	U neck
Round Neck	5667_bd40df19bdfd3ecae9db45867c86bb55.jpg	chinese collar neck
chinese collar neck	2794_940b0873b1aea45629d707015812f4a8.jpg	V Neck
V Neck	4222_a1cc5ae579712c7fbc9e716530379448.jpg	Round Neck
Round Neck	1017_d9685fbcfd2c9b93a1b0fd1bd3364873.jpg	Boat neck
V Neck	5511_3bf9a8e16628badc881eeb2fbd98a903.jpg	chinese collar neck
Round Neck	4255_b75095b75555532d28db39689f6ee1a7.jpg	U neck
V Neck	5230_ef5b6b9b8f1c35c9b47a379f6e188539.jpg	U neck
